7817.1,8244.7,0.39839,0.043359,100,0.5,10,2465,0
7802.7,8239.1,0.41142,0.044501,100,0.5,10,2450,1
7893.6,8340.3,0.4366,0.046198,100,0.5,10,2470,2
8043.4,8464.6,0.3888,0.045268,100,0.5,10,2505,3
7790.7,8206.5,0.42039,0.044618,100,0.5,10,2452,4
7867.4,8317.1,0.38776,0.045911,100,0.5,10,2436,5
7762.4,8192.2,0.38731,0.045195,100,0.5,10,2440,6
7930.1,8357.3,0.41672,0.046161,100,0.5,10,2489,7
7823.2,8258,0.38965,0.045601,100,0.5,10,2469,8
7935.4,8371.7,0.39115,0.043964,100,0.5,10,2458,9
11474,12103,0.39464,0.044738,100,0.5,15,2474,0
11571,12254,0.38843,0.044946,100,0.5,15,2495,1
11397,11978,0.39416,0.045517,100,0.5,15,2442,2
11603,12227,0.40061,0.048285,100,0.5,15,2516,3
11322,11959,0.38332,0.044157,100,0.5,15,2435,4
11423,12016,0.38449,0.048716,100,0.5,15,2441,5
11620,12220,0.41595,0.044142,100,0.5,15,2478,6
11911,12470,0.4275,0.044478,100,0.5,15,2527,7
11661,12302,0.42424,0.04553,100,0.5,15,2458,8
11675,12291,0.41988,0.045257,100,0.5,15,2493,9
1395.7,1456.4,0.42495,0.043931,100,0.5,1,2449,0
1379.7,1442.7,0.49656,0.043815,100,0.5,1,2446,1
1381.7,1446.8,0.46841,0.045598,100,0.5,1,2438,2
1404.1,1466.2,0.446,0.046498,100,0.5,1,2477,3
1403.5,1472.2,0.47143,0.045523,100,0.5,1,2502,4
1405.2,1472,0.47202,0.046113,100,0.5,1,2503,5
1422,1487.7,0.46534,0.044287,100,0.5,1,2527,6
1356.5,1421.3,0.44748,0.044304,100,0.5,1,2395,7
1399.7,1466.2,0.46683,0.047519,100,0.5,1,2478,8
1419.9,1482.6,0.44355,0.044028,100,0.5,1,2516,9
15073,15867,0.39549,0.04418,100,0.5,20,2472,0
15558,16427,0.38791,0.045353,100,0.5,20,2527,1
15746,16587,0.40211,0.046019,100,0.5,20,2511,2
15347,16154,0.39636,0.045606,100,0.5,20,2475,3
14876,15674,0.39136,0.046351,100,0.5,20,2456,4
15414,16262,0.39201,0.045627,100,0.5,20,2545,5
14964,15813,0.39545,0.045906,100,0.5,20,2461,6
15271,16091,0.39025,0.051898,100,0.5,20,2466,7
15139,15974,0.3904,0.045238,100,0.5,20,2477,8
15289,16121,0.41547,0.045264,100,0.5,20,2508,9
19111,20121,0.41426,0.045559,100,0.5,25,2511,0
18320,19364,0.38911,0.044217,100,0.5,25,2454,1
18830,19855,0.39542,0.045738,100,0.5,25,2532,2
18858,19851,0.38848,0.047255,100,0.5,25,2490,3
18574,19581,0.3913,0.045256,100,0.5,25,2424,4
18508,19551,0.39656,0.044123,100,0.5,25,2476,5
18712,19767,0.41847,0.045732,100,0.5,25,2488,6
