97.32,103.4,0.026223,0.0068376,10,0.5,10,0
77.81,84.094,0.026619,0.0067192,10,0.5,10,1
94.08,100.67,0.030784,0.006759,10,0.5,10,2
100.57,107.07,0.029461,0.0066168,10,0.5,10,3
97.77,102.1,0.02782,0.0066876,10,0.5,10,4
101.32,108.06,0.02667,0.0066364,10,0.5,10,5
58.42,61.245,0.027188,0.0066198,10,0.5,10,6
128.35,138,0.030997,0.0066111,10,0.5,10,7
72.98,79.231,0.029149,0.0066307,10,0.5,10,8
89.05,95.894,0.022381,0.0066279,10,0.5,10,9
106.15,111.63,0.02866,0.0065259,10,0.5,15,0
107.16,116.07,0.028144,0.0065114,10,0.5,15,1
128.22,132.19,0.029786,0.0066255,10,0.5,15,2
156.25,164.42,0.023937,0.0068207,10,0.5,15,3
172,172,0.024801,0.0068921,10,0.5,15,4
139.81,151.5,0.028509,0.0066647,10,0.5,15,5
178.78,188.85,0.027811,0.0067487,10,0.5,15,6
187.22,193.41,0.030632,0.0066469,10,0.5,15,7
123,123,0.023248,0.00669,10,0.5,15,8
138.79,147.3,0.028572,0.006752,10,0.5,15,9
17.76,19.234,0.028862,0.0067373,10,0.5,1,0
17.23,18.358,0.026486,0.006646,10,0.5,1,1
16.15,17.253,0.028375,0.0067695,10,0.5,1,2
19.4,20.359,0.028775,0.0065695,10,0.5,1,3
17.31,18.015,0.030169,0.0066572,10,0.5,1,4
22.22,23.007,0.03025,0.0066758,10,0.5,1,5
17.99,19.129,0.027254,0.0066569,10,0.5,1,6
16.49,17.904,0.024387,0.0066849,10,0.5,1,7
17.35,18.009,0.028354,0.0067478,10,0.5,1,8
17.02,18.529,0.02529,0.0069704,10,0.5,1,9
155.26,170.16,0.027114,0.0068029,10,0.5,20,0
154.55,162.15,0.026105,0.0066406,10,0.5,20,1
173.6,186.19,0.028654,0.0067038,10,0.5,20,2
190.33,200.6,0.028729,0.0067072,10,0.5,20,3
210.35,222.66,0.024992,0.0066412,10,0.5,20,4
171.98,184.39,0.026618,0.0066966,10,0.5,20,5
215.6,236.37,0.029011,0.006727,10,0.5,20,6
190.57,198.99,0.029436,0.0067316,10,0.5,20,7
198.75,211.42,0.026973,0.0068951,10,0.5,20,8
204.73,220.27,0.026545,0.0067228,10,0.5,20,9
234.65,246.18,0.029222,0.0067038,10,0.5,25,0
246,246,0.026668,0.0070481,10,0.5,25,1
206.79,217.38,0.027237,0.0070716,10,0.5,25,2
235.62,250.9,0.028892,0.0067671,10,0.5,25,3
232.89,251.55,0.024582,0.0066906,10,0.5,25,4
272.88,291.66,0.029227,0.0069201,10,0.5,25,5
195.36,206.71,0.026671,0.0065819,10,0.5,25,6
226.78,239.15,0.02677,0.0068475,10,0.5,25,7
273.73,291.25,0.027192,0.0069722,10,0.5,25,8
185.22,200.39,0.025671,0.0068394,10,0.5,25,9
59,59,0.026623,0.006833,10,0.5,5,0
53.28,56.404,0.027158,0.0067442,10,0.5,5,1
45.38,49.182,0.027379,0.0067984,10,0.5,5,2
41.78,44.096,0.026468,0.006986,10,0.5,5,3
56.69,60.666,0.026883,0.0067894,10,0.5,5,4
47.66,50.712,0.025164,0.0066168,10,0.5,5,5
50.29,53.445,0.028759,0.006684,10,0.5,5,6
56,56,0.024645,0.0066578,10,0.5,5,7
43.72,47.167,0.025,0.0068171,10,0.5,5,8
47,47,0.025172,0.0067746,10,0.5,5,9
154.43,161.28,0.026695,0.0067602,10,1,10,0
186,186,0.026822,0.0066873,10,1,10,1
154.61,163.23,0.02615,0.0066966,10,1,10,2
169.16,175.11,0.027992,0.0066804,10,1,10,3
151.98,160.67,0.028046,0.0066572,10,1,10,4
142.15,146.24,0.029087,0.0066114,10,1,10,5
165.05,173.88,0.027667,0.0066418,10,1,10,6
152.97,159.51,0.026099,0.0066168,10,1,10,7
148.75,157.64,0.026257,0.0066719,10,1,10,8
165.07,171.69,0.025908,0.0065891,10,1,10,9
226.28,237.98,0.026664,0.0066801,10,1,15,0
234.54,244.89,0.028387,0.0065915,10,1,15,1
231.95,244.85,0.024725,0.0065945,10,1,15,2
236.92,249.08,0.025588,0.0065728,10,1,15,3
240.73,256.37,0.028238,0.0066325,10,1,15,4
235.21,245.94,0.02618,0.0067216,10,1,15,5
